3	10	6	1	.6	5	4.5	7	6
3	15	7	1	.4	10	5	10	4
3	15	5	1	.2	2	.5	2	.5
3	19	14	1	.4	10	5	10	5
3	10	6	.6	.2	2.5	.5	2.5	.5
3	10	1	.6	0	5	0	5	0
3	15	5	1	.4	10	5	12.5	7
3	14	5	.6	.4	5	3	7	4
3	10	5	1	.4	2.5	.5	3	.5
3	14	4	.6	.2	10	2.5	15	3
3	15	5	1	.2	10	2.5	10	2.5
3	15	8	1	.6	10	4	12	5
3	10	1	.2	0	5	.5	5	.5
3	12	1	.4	.2	5	2	7	2.5
3	10	5	.6	.2	2.5	0	2.5	0
3	25	10	1	0	10	5	10	5
3	10	5	2	1	10	5	10	5
3	15	3	8.6	1.6	6	2	9	1.5
3	5	5	.2	.2	0	0	0	0
3	29	10	1	.6	10	5	10	5
3	10	7	.6	.4	5	3.5	5	3.5
3	10	4	1	.2	5	.5	5	.5
3	15	5	0	0	0	0	0	0
3	10	5	1	.6	5	2	5	2
3	12	5	3	1.6	10	5	12.5	6
3	15	7	1	.4	10	5	20	10
3	20	10	.8	.4	5	2.5	8	5
3	10	5	1	.6	3.5	2.5	4	1.5
3	10	5	.2	0	2.5	.5	3.5	.5
3	10	5	1	.2	3	.5	5	2.5
3	15	9	.8	.2	4	1.5	4	1.5
3	15	5	1	.4	10	2.5	12.5	5
3	10	5	.4	.2	2.5	.5	5	2.5
3	27	11	4	1	8.5	1	10	2
3	15	5	1	.4	3.5	1	5	2
3	10	5	2.6	.2	10	5	10	5
3	15	5	1	.2	5	2	7.5	2.5
3	0	0	0	0	0	0	0	0
3	20	10	1	.4	10	2.5	10	2.5
3	20	10	1.4	.4	7.5	3.5	6	2
3	15	8	.8	0	8	2.5	7.5	2.5
3	10	5	1	.2	5	3	7.5	4
3	15	10	.2	0	0	0	0	0
3	30	10	.4	1	10	8	15	10
3	15	9	.8	.2	3.5	1	4.5	1
3	8	6	1	.6	5	2	7.5	5
3	15	8	.6	.2	5	2	5	2.5
3	17	12	2	.8	3.5	1.5	5	2.5
3	25	15	1.4	.6	10	5	10	5
3	15	9	.8	.2	2.5	.5	2.5	1
3	14	5	1	.4	2	.5	5	1
3	15	5	1	.4	9.5	4.5	12.5	4.5
3	20	5	1.6	.2	2.5	.5	3.5	.5
3	10	1	1	.2	3	1	4	1
3	10	5	.6	.2	2.5	1	2.5	1
3	10	6	.6	.2	5	2	6	2.5
3	20	15	.8	.6	10	7.5	12.5	10
3	7	4	1	.2	0	0	0	0
3	15	6	1	.2	10	2.5	12.5	3
3	8	1	.4	0	1	.5	.5	0
3	15	10	1	.2	5	2.5	5	2
3	15	7	.4	.2	0	0	0	0
3	10	3	.8	.2	10	2.5	12.5	2
3	15	9	.8	.4	10	7	12	9
3	5	0	.2	0	2.5	0	5.5	0
3	15	5	.8	.2	7.5	.5	7.5	.5
3	10	1	1	0	2.5	.5	5	1
3	15	5	1	.2	3	1	3	1
3	15	5	1	.2	7	2	9	3
3	14	4	.8	.2	5	2	8.5	4
3	9	3	3.6	1.2	3.5	1	5.5	1.5
3	12	5	1	.2	15	5	20	10
3	12	5	1	.2	8	4	8	4
3	20	1	1	.2	10	0	15.5	.5
3	15	1	.6	.2	3	2	3.5	1.5
3	18	9	.8	0	12.5	2.5	12.5	2.5
3	16	10	2	1	10	7.5	8	7.5
3	15	10	1	.6	8	5	10	5
3	10	5	.6	.2	2.5	1	3	1.5
